date,series_id,tree_id,tree_name,site,tree_genus_species_original,tree_genus_species,TWD_mean,TWD_median,TWD_min,TWD_max,n_obs,n_excluded,qc_flag
2025-04-06,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,100.65931091666667,94.626409,68.228712,142.99426,144,0,Valid
2025-04-06,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,230.298953,221.6535885,177.176673,304.7284,144,0,Valid
2025-04-06,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,2.413016138888889,1.7489819999999998,0,6.885943,144,0,Valid
2025-04-06,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,74.54578511805556,71.310743,61.430306,89.374872,144,0,Valid
2025-04-06,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,45.4984325625,44.033908,33.698707,52.303517,144,0,Valid
2025-04-06,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,49.54808994444444,48.433738500000004,39.245285,58.119636,144,0,Valid
2025-04-06,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,29.964547125,28.816451999999998,15.059805,49.259706,144,0,Valid
2025-04-06,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,19.086151631944446,17.697298,4.986396,38.858229,144,0,Valid
2025-04-06,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,47.785009583333334,47.6859995,20.407005,79.447761,144,0,Valid
2025-04-06,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,39.39487870138889,37.9463735,28.355049,48.785937,144,0,Valid
2025-04-06,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,85.97583159722222,81.988877,73.942551,99.504878,144,0,Valid
2025-04-06,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,57.0677980625,54.848726,43.533899,67.530514,144,0,Valid
2025-04-06,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,57.083618125,53.432452,48.277669,67.349205,144,0,Valid
2025-04-06,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,19.174257194444444,18.7957315,14.618128,22.303319,144,0,Valid
2025-04-06,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,52.815837916666666,51.162726,45.931788,61.111648,144,0,Valid
2025-04-06,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,10.541490125,9.717585,3.515079,22.060613,144,0,Valid
2025-04-06,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,79.92087022222222,74.55045150000001,63.37106,101.607996,144,0,Valid
2025-04-06,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,10.273736743055556,9.38202,5.394522,17.224267,144,0,Valid
2025-04-07,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,33.63937525694445,36.8183605,19.766447,39.229029,144,0,Valid
2025-04-07,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,55.92834125,58.53406,43.078959,63.19533,144,0,Valid
2025-04-07,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,56.156312472222226,59.3861605,43.913928,60.732134,144,0,Valid
2025-04-07,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,135.72100481944443,127.470745,84.301176,204.933998,144,0,Valid
2025-04-07,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,115.97031977777777,95.2380955,43.928069,226.780944,144,0,Valid
2025-04-07,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,83.84642127777778,81.2976955,44.414703,135.691545,144,0,Valid
2025-04-07,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,101.090248125,86.79808249999999,60.608748,162.488888,144,0,Valid
2025-04-07,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,232.5912634722222,220.3988195,181.870939,301.826751,144,0,Valid
2025-04-07,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,1.6821338680555555,0,0,5.643451,144,0,Valid
2025-04-07,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,82.78666964583333,83.938114,68.81125,90.718353,144,0,Valid
2025-04-07,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,45.07601277777778,47.565724,30.302458,51.410016,144,0,Valid
2025-04-07,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,54.420614506944446,55.543103,41.363322,60.227173,144,0,Valid
2025-04-07,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,28.53594497222222,26.31935,12.629185,47.124672,144,0,Valid
2025-04-07,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,9.580240180555556,9.0975675,0,25.704536,144,0,Valid
2025-04-07,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,44.54977088888889,45.5366785,21.270541,67.706253,144,0,Valid
2025-04-07,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,43.54714553472222,47.33167,28.289255,50.479737,144,0,Valid
2025-04-07,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,88.72752268055555,90.8637895,75.596086,98.145986,144,0,Valid
2025-04-07,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,60.03267088194445,63.3536675,43.886725,67.766524,144,0,Valid
2025-04-07,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,61.26522561111111,61.872245500000005,51.540738,69.208756,144,0,Valid
2025-04-07,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,20.613223131944444,22.232802,13.52555,23.634349,144,0,Valid
2025-04-07,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,57.93769622222222,60.391028000000006,44.604004,63.570101,144,0,Valid
2025-04-07,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,5.561480770833334,5.1772835,0,13.983214,144,0,Valid
2025-04-07,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,89.9247629861111,89.121275,75.146057,104.317872,144,0,Valid
2025-04-07,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,6.266009222222222,6.018326999999999,0,12.938175,144,0,Valid
2025-04-08,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,34.134843208333336,37.1637815,19.231888,39.433635,144,0,Valid
2025-04-08,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,54.01980557638889,56.5590995,40.548185,61.845711,144,0,Valid
